"name","parameter_quadra","initial_gradient_quadra","estimate_quadra","parameter_rtmb","initial_gradient_rtmb","estimate_rtmb","gradient_difference","estimate_difference"
"logFY_32","parameter",38.4945888719047,-0.525635093193957,"parameter",38.4945888719047,-0.525635999834038,0,9.06640080233778e-07
"logFY_33","parameter",39.9339196766611,-0.653247851968164,"parameter",39.9339196766611,-0.653248534253071,7.105427357601e-15,6.82284907127517e-07
"logFY_34","parameter",39.6794957898334,-0.615311183370359,"parameter",39.6794957898334,-0.615310418407457,7.105427357601e-15,7.64962902466415e-07
"logFY_35","parameter",37.9349893035016,-0.651046238153699,"parameter",37.9349893035017,-0.651047143214614,2.1316282072803e-14,9.05060914657696e-07
"logFY_36","parameter",33.9196534728689,-0.45163001745319,"parameter",33.919653472869,-0.451630271295378,2.1316282072803e-14,2.53842187658559e-07
"logFY_37","parameter",32.2468819239166,-0.351758831564438,"parameter",32.2468819239166,-0.351758654674388,2.1316282072803e-14,1.76890050218592e-07
"logFY_38","parameter",33.6268065302825,-0.464359351525859,"parameter",33.6268065302825,-0.464360933432057,0,1.58190619803378e-06
"logFY_39","parameter",37.7352963912384,-0.812784867550391,"parameter",37.7352963912385,-0.812783267508874,7.105427357601e-15,1.60004151739113e-06
"logFY_40","parameter",35.3951661094148,-0.603201151362655,"parameter",35.3951661094149,-0.603201790424416,1.4210854715202e-14,6.39061761620319e-07
"logFY_41","parameter",34.9682817783669,-0.957086878573325,"parameter",34.9682817783669,-0.957090671990411,0,3.79341708600656e-06
"logFY_42","parameter",26.2868447860688,-0.772182140785488,"parameter",26.2868447860688,-0.772181673480918,3.5527136788005e-15,4.67304569928828e-07
"logFY_43","parameter",16.1912131915338,-0.980803534429891,"parameter",16.1912131915338,-0.980804060704317,7.105427357601e-15,5.26274426149165e-07
"logFY_44","parameter",0.925894866576807,-1.23484114592426,"parameter",0.92589486657681,-1.23484230047792,3.33066907387547e-15,1.15455366112016e-06
"logFY_45","parameter",-26.4832093395761,-1.44333196127728,"parameter",-26.4832093395761,-1.44333121442364,3.5527136788005e-15,7.46853632271893e-07
"logFA_1","parameter",475.354436742831,-0.361006603693848,"parameter",475.35443674283,-0.361006302333036,1.13686837721616e-13,3.01360811694185e-07
"logFA_2","parameter",447.990123494752,0.648182840500314,"parameter",447.990123494752,0.648183099376884,5.6843418860808e-14,2.58876570069511e-07
"logFA_3","parameter",421.325221779374,0.611019316406206,"parameter",421.325221779373,0.611019741832401,1.13686837721616e-13,4.25426195049816e-07
"logFA_4","parameter",376.967275604995,0.387637849935653,"parameter",376.967275604995,0.387638091399137,0,2.41463484207394e-07
